,Date,Open_x,High_x,Low_x,Close_x,Adj Close_x,Volume_x,Open_y,High_y,Low_y,Close_y,Adj Close_y,Volume_y
411,2009-06-30,927.150024,930.01001,912.859985,919.320007,919.320007,4627570000,4.605,4.605,4.4675,4.565,4.135587999999999,1546000
412,2009-07-01,920.820007,931.919983,920.820007,923.330017,923.330017,3919400000,4.5375,4.6975,4.5375,4.675,4.235241,2313600
413,2009-07-02,921.23999,921.23999,896.419983,896.419983,896.419983,3931000000,4.5775,4.65,4.4825,4.5875,4.155972,1462000
414,2009-07-06,894.2700199999998,898.7199710000001,886.3599849999998,898.7199710000001,898.7199710000001,4712580000,4.6075,4.75,4.6025,4.71,4.26695,1826800
415,2009-07-07,898.599976,898.599976,879.929993,881.0300289999999,881.0300289999999,4673300000,4.6875,4.73,4.5375,4.68,4.239769,1928000
416,2009-07-08,881.900024,886.7999880000001,869.320007,879.5599980000002,879.5599980000002,5721780000,4.715,4.7925,4.6425,4.74,4.294125,2056400
417,2009-07-09,881.2800289999999,887.8599849999998,878.4500119999999,882.679993,882.679993,4347170000,4.7875,4.7875,4.685,4.7,4.257889,1280800
418,2009-07-10,880.0300289999999,883.570007,872.8099980000002,879.1300050000001,879.1300050000001,3912080000,4.7,5.1325,4.7,5.085,4.606673000000002,3815600
419,2009-07-13,879.570007,901.049988,875.320007,901.049988,901.049988,4499440000,5.1125,5.2225,4.945,5.19,4.701796,2128400
420,2009-07-14,900.77002,905.840027,896.5,905.840027,905.840027,4149030000,5.1875,5.2975,5.1375,5.1825,4.695002,2883600
421,2009-07-15,910.150024,933.950012,910.150024,932.679993,932.679993,5238830000,5.285,5.4025,5.1825,5.3725,4.867129,2750800
422,2009-07-16,930.169983,943.960022,927.450012,940.73999,940.73999,4898640000,5.385,5.4,5.16,5.33,4.828626,1502800
423,2009-07-17,940.559998,941.890015,934.650024,940.380005,940.380005,5141380000,5.345,5.365,5.215,5.285,4.787859,1273600
424,2009-07-20,942.070007,951.619995,940.98999,951.130005,951.130005,4853150000,5.3325,5.5625,5.2225,5.5075,4.989431,2038000
425,2009-07-21,951.969971,956.530029,943.219971,954.580017,954.580017,5309300000,5.52,5.52,5.03,5.1875,4.699532,2623600
426,2009-07-22,953.400024,959.830017,947.75,954.070007,954.070007,4634100000,5.14,5.4225,5.09,5.185,4.697266,1762400
427,2009-07-23,954.070007,979.419983,953.27002,976.289978,976.289978,5761650000,5.4475,5.6175,5.225,5.505,4.987165,3012000
428,2009-07-24,972.159973,979.789978,965.950012,979.26001,979.26001,4458300000,5.445,5.69,5.445,5.665,5.132115,1824400
